text,label
Reset my password please,support
I want to buy a new laptop,sales
My order arrived damaged,complaint
Can you tell me your business hours?,general
I need help logging into my account,support
Do you offer bulk discounts?,sales
The package was late and the box was crushed,complaint
Where are you located?,general
Please help me change my email address,support
I would like a quote for 50 units,sales
The product stopped working after one day,complaint
What payment methods do you accept?,general
My account is locked,support
Can I talk to someone about enterprise pricing?,sales
I received the wrong item,complaint
Are you open on weekends?,general
How do I update my password?,support
Do you have this in stock?,sales
The shipment was missing parts,complaint
How can I contact customer service?,general
Two-factor authentication is not working,support
Can you send me a product catalog?,sales
The screen cracked during shipping,complaint
What is your return policy?,general
